id_cliente,nombre_cliente,correo,teléfono,ciudad,país
1,Cliente 1,cliente1@correo.com,+51 96482369,Cusco,Argentina
2,Cliente 2,cliente2@correo.com,+51 96183947,Trujillo,Argentina
3,Cliente 3,cliente3@correo.com,+51 96245218,Arequipa,Argentina
4,Cliente 4,cliente4@correo.com,+51 91756843,Lima,Argentina
5,Cliente 5,cliente5@correo.com,+51 93703353,Cusco,Perú
6,Cliente 6,cliente6@correo.com,+51 96073955,Piura,Perú
7,Cliente 7,cliente7@correo.com,+51 95440122,Cusco,Perú
8,Cliente 8,cliente8@correo.com,+51 97298556,Arequipa,Perú
9,Cliente 9,cliente9@correo.com,+51 99267218,Arequipa,Argentina
10,Cliente 10,cliente10@correo.com,+51 92316901,Arequipa,Perú
11,Cliente 11,cliente11@correo.com,+51 91665546,Cusco,Argentina
12,Cliente 12,cliente12@correo.com,+51 96899406,Lima,Argentina
13,Cliente 13,cliente13@correo.com,+51 93418846,Piura,Chile
14,Cliente 14,cliente14@correo.com,+51 91629312,Trujillo,Argentina
15,Cliente 15,cliente15@correo.com,+51 93360115,Trujillo,Argentina
16,Cliente 16,cliente16@correo.com,+51 99568096,Arequipa,Argentina
17,Cliente 17,cliente17@correo.com,+51 95256030,Lima,Chile
18,Cliente 18,cliente18@correo.com,+51 96329304,Piura,Perú
19,Cliente 19,cliente19@correo.com,+51 96919337,Cusco,Argentina
20,Cliente 20,cliente20@correo.com,+51 94349074,Trujillo,Chile
21,Cliente 21,cliente21@correo.com,+51 97843304,Piura,Perú
22,Cliente 22,cliente22@correo.com,+51 93871101,Trujillo,Perú
23,Cliente 23,cliente23@correo.com,+51 97300427,Cusco,Perú
24,Cliente 24,cliente24@correo.com,+51 94969949,Cusco,Perú
25,Cliente 25,cliente25@correo.com,+51 98036550,Arequipa,Perú
26,Cliente 26,cliente26@correo.com,+51 97849084,Arequipa,Argentina
27,Cliente 27,cliente27@correo.com,+51 93649015,Cusco,Argentina
28,Cliente 28,cliente28@correo.com,+51 92273271,Piura,Argentina
29,Cliente 29,cliente29@correo.com,+51 95842873,Lima,Chile
30,Cliente 30,cliente30@correo.com,+51 95841957,Lima,Argentina
